City,begin,PresureMea,WindCmean,volume_MW,CSVID,turboNum,apppID
台中市,台中市1,983.2739332,24.998086,,8,,"city:台中市,Site:台中市1,Turbo numers:"
台中市,台中市2,987.7352578,21.37626377,,7,,"city:台中市,Site:台中市2,Turbo numers:"
台南市,台南市,984.2323201,25.2978839,,4,,"city:台南市,Site:台南市,Turbo numers:"
屏東縣,屏東縣,976.5986742,33.50052466,,11,,"city:屏東縣,Site:屏東縣,Turbo numers:"
苗栗縣,苗栗縣1,980.3243999,28.11121356,1360,6,20,"city:苗栗縣,Site:苗栗縣1,Turbo numers:20"
苗栗縣,苗栗縣2,983.3716329,25.96195486,1358,5,18,"city:苗栗縣,Site:苗栗縣2,Turbo numers:18"
桃園市,桃園市,975.3314459,31.48268249,,1,,"city:桃園市,Site:桃園市,Turbo numers:"
高雄市,高雄市1,988.2160555,24.29989293,,10,,"city:高雄市,Site:高雄市1,Turbo numers:"
高雄市,高雄市2,984.54696,26.97306074,1000,9,15,"city:高雄市,Site:高雄市2,Turbo numers:15"
雲林縣,雲林縣1_1,989.5714597,22.22204081,,12,10,"city:雲林縣,Site:雲林縣1_1,Turbo numers:10"
雲林縣,雲林縣1_2,988.9437795,22.38374647,2000,13,25,"city:雲林縣,Site:雲林縣1_2,Turbo numers:25"
雲林縣,雲林縣1_3,990.0148369,21.53177061,,14,,"city:雲林縣,Site:雲林縣1_3,Turbo numers:"
新北市,新北市,980.6439043,29.17840576,,0,,"city:新北市,Site:新北市,Turbo numers:"
新竹市,新竹市,977.5946524,30.5376621,,3,,"city:新竹市,Site:新竹市,Turbo numers:"
新竹縣,新竹縣,974.4408918,32.51388041,,2,,"city:新竹縣,Site:新竹縣,Turbo numers:"
彰化縣,彰化縣1_1,988.5774228,22.10674138,300,15,2,"city:彰化縣,Site:彰化縣1_1,Turbo numers:2"
彰化縣,彰化縣1_10,986.3194256,23.49667347,,24,,"city:彰化縣,Site:彰化縣1_10,Turbo numers:"
彰化縣,彰化縣1_11,983.9961306,24.96839087,,25,,"city:彰化縣,Site:彰化縣1_11,Turbo numers:"
彰化縣,彰化縣1_12,983.6956588,24.94840478,605,26,3,"city:彰化縣,Site:彰化縣1_12,Turbo numers:3"
彰化縣,彰化縣1_13,983.7977054,24.98290485,,27,,"city:彰化縣,Site:彰化縣1_13,Turbo numers:"
彰化縣,彰化縣1_14,984.6956194,24.60324485,,28,,"city:彰化縣,Site:彰化縣1_14,Turbo numers:"
彰化縣,彰化縣1_15,985.1243137,24.8968579,300,29,3,"city:彰化縣,Site:彰化縣1_15,Turbo numers:3"
彰化縣,彰化縣1_16,984.0435389,25.38692023,,30,,"city:彰化縣,Site:彰化縣1_16,Turbo numers:"
彰化縣,彰化縣1_17,983.168557,25.72345526,2000,31,24,"city:彰化縣,Site:彰化縣1_17,Turbo numers:24"
彰化縣,彰化縣1_18,981.0725392,27.43207347,,32,,"city:彰化縣,Site:彰化縣1_18,Turbo numers:"
彰化縣,彰化縣1_19,983.5232328,25.0451081,,33,,"city:彰化縣,Site:彰化縣1_19,Turbo numers:"
彰化縣,彰化縣1_2,986.4643871,23.94464676,300,16,3,"city:彰化縣,Site:彰化縣1_2,Turbo numers:3"
彰化縣,彰化縣1_20,983.7161092,24.67789739,500,34,4,"city:彰化縣,Site:彰化縣1_20,Turbo numers:4"
彰化縣,彰化縣1_21,983.7903598,24.25348271,1500,35,10,"city:彰化縣,Site:彰化縣1_21,Turbo numers:10"
彰化縣,彰化縣1_3,984.7885338,25.54224939,800,17,4,"city:彰化縣,Site:彰化縣1_3,Turbo numers:4"
彰化縣,彰化縣1_4,983.6873779,25.70301888,750,18,10,"city:彰化縣,Site:彰化縣1_4,Turbo numers:10"
彰化縣,彰化縣1_5,988.2740493,22.57150137,400,19,2,"city:彰化縣,Site:彰化縣1_5,Turbo numers:2"
彰化縣,彰化縣1_6,985.9536629,24.81355293,600,20,3,"city:彰化縣,Site:彰化縣1_6,Turbo numers:3"
彰化縣,彰化縣1_7,985.0959797,25.30483828,,21,,"city:彰化縣,Site:彰化縣1_7,Turbo numers:"
彰化縣,彰化縣1_8,984.2095891,25.32909807,,22,,"city:彰化縣,Site:彰化縣1_8,Turbo numers:"
彰化縣,彰化縣1_9,984.6553157,24.71749782,,23,,"city:彰化縣,Site:彰化縣1_9,Turbo numers:"
